age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
70,management,married,university.degree,yes,unknown,no,cellular,jun,mon,3174,18,21,0,nonexistent,-1.6331063019774588,94.61078643607895,-27.973500352006646,1.677175034993861,5024.360962229342,yes
18,admin.,divorced,university.degree,unknown,no,no,telephone,aug,mon,3507,20,5,3,nonexistent,0.0774440883816419,94.10519572122057,-45.07427368411384,2.0564376310250094,5162.795670248996,yes
20,self-employed,married,university.degree,yes,unknown,no,cellular,jun,thu,860,4,20,0,nonexistent,-0.7572359038722982,92.69003512140435,-44.0163557422316,1.8704435691955499,5083.393104053623,no
20,admin.,divorced,university.degree,yes,no,yes,telephone,feb,fri,1294,1,25,5,nonexistent,1.3060178183951372,92.42177739980262,-28.801765855756276,0.9226388207482865,5115.189195742654,no
45,services,married,university.degree,no,no,unknown,cellular,jul,tue,1130,28,12,3,nonexistent,0.9588371753089192,92.13806859611569,-39.858320525758906,3.1510384681836388,5168.864779205895,no
31,admin.,single,basic.6y,no,no,no,telephone,oct,wed,1095,8,20,5,nonexistent,0.5544948242947009,92.53354833702582,-39.87161725878066,2.6907902731318303,5065.171409447485,yes
69,blue-collar,married,basic.4y,yes,unknown,unknown,cellular,apr,fri,3772,11,24,5,failure,-3.235194665344824,94.05065061648409,-30.049814483017734,1.0684366386447568,5209.54361557715,yes
47,management,married,basic.6y,yes,unknown,unknown,cellular,nov,mon,3092,3,18,2,success,-1.5739139800335948,93.76269405695298,-43.724392163173135,2.640957413375485,5098.517193495343,yes
75,self-employed,married,basic.6y,no,unknown,yes,cellular,nov,fri,1638,28,14,1,nonexistent,-0.6482023667070385,94.70882262278991,-34.14414641270371,0.9474440356709781,5149.740625699368,yes
71,technician,single,university.degree,unknown,no,unknown,telephone,mar,tue,2169,29,26,5,success,-0.8962422029083333,92.90151868101641,-33.55559854635164,4.698729059860264,5163.33171062926,yes
22,technician,married,basic.4y,yes,no,unknown,cellular,aug,mon,466,12,25,2,nonexistent,0.2651152994820206,94.20248053827319,-40.22667951387992,1.7399464919737506,5059.941489205346,yes
66,blue-collar,married,university.degree,no,unknown,no,cellular,oct,tue,1238,13,6,3,nonexistent,0.9636024166035605,92.33728507265582,-42.81834363982911,3.789227131067457,5031.8712857778055,no
32,self-employed,single,basic.6y,yes,unknown,no,telephone,dec,wed,330,20,12,5,nonexistent,0.378286170486359,93.57523155365793,-32.95493025011461,1.7054968480032189,5207.827935571782,yes
55,admin.,divorced,basic.4y,no,yes,unknown,telephone,dec,fri,1482,18,19,1,nonexistent,-2.343034730208986,93.3070141619268,-44.683422095803856,2.6878569518251547,5046.518041411851,yes
31,technician,married,high.school,unknown,yes,no,cellular,may,wed,2135,12,1,0,success,-1.0690615415553766,94.34695845877495,-31.21849328956415,4.706371513253606,4992.570236783176,yes
31,admin.,single,university.degree,yes,yes,yes,cellular,apr,thu,3444,10,25,0,nonexistent,-1.5106642730785895,93.96448904895054,-40.847765768494995,4.4354233922765145,5094.727475917596,yes
74,blue-collar,married,high.school,yes,yes,unknown,cellular,nov,fri,3171,21,18,4,nonexistent,0.27776303723765705,92.54408306461875,-50.36078207418133,4.027075090736157,5181.72807657475,yes
76,technician,single,high.school,unknown,yes,unknown,cellular,apr,thu,2919,28,18,6,nonexistent,0.8965953086885462,94.75487649975632,-37.19441942493328,4.076841282946515,5038.195912574653,yes
66,services,divorced,high.school,yes,unknown,yes,telephone,may,tue,3735,21,2,0,nonexistent,-2.023226759292887,94.30480136965626,-46.153415172766906,4.223233125672422,5094.199285687154,yes
25,management,divorced,high.school,yes,no,yes,cellular,dec,thu,130,15,2,4,failure,-1.0532327412581015,92.99296508851924,-39.64909111095987,3.867597876699861,5059.2281708397495,no
25,admin.,married,basic.4y,yes,no,yes,telephone,apr,tue,1685,3,25,1,nonexistent,0.11320841116889038,94.3128847133964,-31.48078223682598,4.546164864774613,4970.122435257147,yes
36,self-employed,single,university.degree,no,unknown,yes,telephone,mar,wed,3380,24,5,2,nonexistent,-3.160225737930217,94.67934979892549,-46.25868809457741,2.141035186167432,4999.988344745874,yes
