property_id,fiscal_year,fiscal_quarter,revenue,net_income,expenses
1,2023,,12500000.0,4200000.0,8300000.0
2,2023,,10800000.0,3600000.0,7200000.0
3,2023,,18200000.0,6500000.0,11700000.0
4,2023,,8500000.0,2800000.0,5700000.0
5,2023,,15100000.0,5300000.0,9800000.0
6,2023,,9900000.0,3200000.0,6700000.0
7,2023,,7800000.0,2500000.0,5300000.0
8,2023,,6200000.0,1900000.0,4300000.0
9,2023,,14200000.0,4900000.0,9300000.0
10,2023,,9100000.0,3000000.0,6100000.0
11,2023,,12300000.0,4100000.0,8200000.0
12,2023,,16500000.0,5800000.0,10700000.0
13,2023,,5200000.0,1600000.0,3600000.0
14,2023,,11400000.0,3800000.0,7600000.0
15,2023,,14100000.0,4800000.0,9300000.0
16,2023,,21500000.0,7800000.0,13700000.0
17,2023,,4100000.0,1200000.0,2900000.0
18,2023,,10200000.0,3400000.0,6800000.0
19,2023,,8900000.0,2900000.0,6000000.0
20,2023,,5600000.0,1700000.0,3900000.0
21,2023,,6800000.0,2100000.0,4700000.0
22,2023,,7200000.0,2400000.0,4800000.0
